"Student ID","Name","Attendance","Sex","DOB","Age","Height","Weight","Favourite Color","Agriculture","","","","","Biology","","","","","Chemistry","","","","","Civic Education","","","","","Computer Science","","","","","Economics","","","","","English Language","","","","","Fine Arts","","","","","French Language","","","","","Geography","","","","","History","","","","","Literature in English","","","","","Mathematics","","","","","Physical Education","","","","","Physics","","","","","Science","","","","","Yoruba Language","","","","","Affective Domains","","","","","","","","","","Psychomotor Domains","","","","","","Comments",""
"","","(days)","(M/F)","(YYYY-MM-DD)","(years)","","","","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Exam (40)","CA 1 (10)","CA 2 (10)","Mid-Term (20)","Project (20)","Attentiveness","Honesty","Neatness","Politeness","Punctuality/Assembly","Self Control/Calmness","Obedience","Reliability","Sense of Responsibility","Relationship with Others","Handling of Tools","Drawing/Painting","Handwriting","Public Speaking","Speech Fluency","Sports and Games","Principal Comments","Form Tutor Comments"
"RP/2026/0001","Jude Onah","65","M","2010-05-12","15","1.65m","55kg","Blue","32","8","7","15","18","28","7","8","14","16","35","9","9","18","19","30","8","8","16","17","38","10","9","19","20","25","6","7","12","15","34","9","8","17","18","22","5","6","10","12","31","8","7","15","16","29","7","8","14","15","27","6","7","13","14","36","9","9","18","19","33","8","8","16","17","30","7","8","15","16","35","9","9","18","19","32","8","8","16","17","28","7","7","14","15","5","5","4","5","5","4","5","5","4","5","4","5","4","5","4","5","Exemplary performance.","A dedicated and hardworking student."
"RP/2026/0002","Sarah Adeyemi","60","F","2011-03-24","14","1.58m","50kg","Pink","35","9","9","18","19","38","10","10","19","20","39","10","10","20","20","36","9","9","18","19","37","9","10","19","20","34","8","9","17","18","38","10","10","19","20","35","9","9","18","19","36","9","9","18","19","37","9","10","19","20","38","10","10","19","20","39","10","10","20","20","35","9","9","18","19","36","9","9","18","19","37","9","10","19","20","38","10","10","19","20","39","10","10","20","20","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Outstanding results. Well done!","Excellent academic achievement and character."
"RP/2026/0003","Michael Okoro","70","M","2010-11-05","15","1.70m","60kg","Green","25","6","7","12","14","22","5","6","10","12","28","7","8","14","15","24","6","7","12","13","26","7","7","13","14","20","5","5","10","11","25","6","7","12","14","18","4","5","9","10","22","5","6","11","12","24","6","7","12","13","21","5","6","10","11","27","7","8","14","15","23","6","6","11","12","25","6","7","12","14","22","5","6","10","12","24","6","7","12","13","26","7","7","13","14","4","4","3","4","3","4","4","4","3","4","5","4","3","4","3","5","Needs to put more effort in his studies.","Can do better with more consistency."
"RP/2026/0004","Elizabeth Eze","69","F","2011-01-15","14","1.60m","52kg","Purple","30","8","8","16","17","32","8","8","16","17","31","8","7","15","16","29","7","8","14","15","33","8","9","17","18","28","7","8","14","15","34","9","8","17","18","27","6","7","13","14","30","8","8","16","17","31","8","7","15","16","29","7","8","14","15","33","8","9","17","18","32","8","8","16","17","31","8","7","15","16","29","7","8","14","15","33","8","9","17","18","34","9","8","17","18","5","5","5","5","4","5","5","5","5","5","4","5","5","4","5","4","A very good performance. Keep it up.","Consistent and focused in class."
"RP/2026/0005","David Ibrahim","69","M","2010-08-20","15","1.68m","58kg","Yellow","28","7","7","14","15","26","7","6","13","14","29","7","8","14","15","27","6","7","13","14","25","6","7","12","13","24","6","6","12","13","29","7","8","14","15","23","6","6","11","12","27","7","7","14","15","26","7","6","13","14","25","6","7","12","13","28","7","7","14","15","27","6","7","13","14","29","7","8","14","15","26","7","6","13","14","25","6","7","12","13","28","7","7","14","15","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Good effort. Aim for the top.","Active participant in class activities."
"RP/2026/0006","Grace Chukwu","45","F","2011-05-30","14","1.55m","48kg","Red","36","9","10","19","20","37","9","10","19","20","38","10","10","19","20","35","9","9","18","19","36","9","9","18","19","34","8","9","17","18","37","9","10","19","20","35","9","9","18","19","36","9","9","18","19","37","9","10","19","20","38","10","10","19","20","35","9","9","18","19","36","9","9","18","19","37","9","10","19","20","38","10","10","19","20","35","9","9","18","19","36","9","9","18","19","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Brilliant performance. Well done!","Highly intelligent and disciplined."
"RP/2026/0007","Samuel Bello","69","M","2010-02-14","16","1.72m","62kg","Grey","22","5","6","11","12","20","5","5","10","11","24","6","7","12","13","21","5","6","10","11","23","6","6","11","12","18","4","5","9","10","22","5","6","11","12","19","4","5","10","11","21","5","6","10","11","20","5","5","10","11","22","5","6","11","12","21","5","6","10","11","23","6","6","11","12","20","5","5","10","11","22","5","6","11","12","21","5","6","10","11","23","6","6","11","12","3","3","4","3","4","3","3","3","4","3","4","3","4","3","4","5","Must improve his focus and dedication.","Requires closer monitoring."
"RP/2026/0008","Victory Udoh","66","F","2011-07-08","14","1.62m","54kg","Orange","31","8","8","16","17","33","8","9","17","18","32","8","8","16","17","30","7","8","15","16","31","8","8","16","17","29","7","8","14","15","32","8","9","17","18","28","7","8","14","15","31","8","8","16","17","33","8","9","17","18","32","8","8","16","17","30","7","8","15","16","31","8","8","16","17","32","8","9","17","18","28","7","8","14","15","31","8","8","16","17","33","8","9","17","18","5","4","5","4","5","4","5","4","5","4","4","5","4","5","4","5","Impressive results. Keep soaring.","A respectful and diligent student."
"RP/2026/0009","Chidi Nwosu","67","M","2010-09-18","15","1.66m","56kg","White","26","6","7","13","14","28","7","7","14","15","27","6","7","13","14","25","6","7","12","13","29","7","8","14","15","24","6","6","12","13","28","7","7","14","15","23","6","6","11","12","27","7","7","14","15","26","7","6","13","14","25","6","7","12","13","28","7","7","14","15","27","6","7","13","14","29","7","8","14","15","26","7","6","13","14","25","6","7","12","13","28","7","7","14","15","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","A good result. Can be better.","Polite and well-behaved."
